FEM_lvl=0_disc=linear;FEM_lvl=0_disc=serendipity;FEM_lvl=1_disc=linear;FEM_lvl=1_disc=serendipity;FEM_lvl=2_disc=linear;FEM_lvl=2_disc=serendipity;FEM_lvl=3_disc=linear;FEM_lvl=3_disc=serendipity;DG_lvl=0_konf=sym;DG_lvl=0_konf=nonsym;DG_lvl=1_konf=sym;DG_lvl=1_konf=nonsym;DG_lvl=2_konf=sym;DG_lvl=2_konf=nonsym;DG_lvl=3_konf=sym;DG_lvl=3_konf=nonsym;DG2_lvl=0;DG2_lvl=1;DG2_lvl=2;DG2_lvl=3;DG3_penalty=0;DG3_penalty=1;DG3_penalty=5;DG3_penalty=10;DG3_penalty=25;DG3_penalty=50;DG3_penalty=100
289;1072;1072;4072;4072;15808;15808;62224;1434;1434;5736;5736;22944;22944;91776;91776;2868;11472;45888;183552;183552;183552;183552;183552;183552;183552;183552
-2.28269;-1.84244;-2.04055;-1.61105;-1.81027;-1.40436;-1.57828;-1.26234;-1;-1.51407;-1;-1.43051;-1;-1.35923;-1;-1.31496;-1.5;-1.5;-1.5;-1.5;-1.5;-1.5;-3;-1.5;-1.5;-1.5;-1.5
2.27662;1.82113;2.02767;1.6011;1.79743;1.39884;1.56827;1.25912;1;1.47455;1;1.41902;1;1.36475;1;1.31021;1.65789;1.65789;1.65789;1.65789;1;0.9;6.83E-11;2.25;1.65789;1.56818;1.53191
1.44483;0.923449;1.20341;0.767125;0.983003;0.681347;0.832278;0.605943;1.42E-14;0.595;2.81E-14;0.532418;5.16E-14;0.454194;9.95E-14;0.402061;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
-0.00606726;-0.021308;-0.0128817;-0.00994833;-0.0128437;-0.00551915;-0.0100086;-0.00321882;3.69E-14;-0.0395168;1.94E-13;-0.0114971;3.93E-13;0.00551521;2.89E-12;-0.00475104;0.157895;0.157895;0.157895;0.157895;-0.5;-0.6;-3;0.75;0.157895;0.0681818;0.0319149
0.08;0.13;0.3;0.63;1.34;2.11;3.9;38.29;0.4;5.33;1.46;17.65;5.25;1:02.96;22.5;3:59.10;0.58;2.27;8.08;40.22;42.03;41.92;40.45;41.55;40.44;41.7;40.96
seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;minutes;seconds;minutes;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds;seconds
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Discretization = linear;;;;;;;;;;;;;;;;;;;;;;;
;;;Level;0;1;2;3;;;;konf = sym;deg = 1;;;;;;;;;;;;;;
;;;Problem Size;289;1072;4072;15808;;;;Level;0;1;2;3;;;;;;;;;;;
;;;Outflow;2.27662;2.02767;1.79743;1.56827;;;;Problem Size;1434;5736;22944;91776;;;;;;;;;;;
;;;Flux Error;1.44483;1.20341;0.983003;0.832278;;;;Outflow;1;1;1;1;;;;;;;;;;;
;;;Flux Loss;-0.00606726;-0.0128817;-0.0128437;-0.0100086;;;;Flux Error;1.42E-14;2.81E-14;5.16E-14;9.95E-14;;;;;;;;;;;
;;;Programmdauer in s;0.08;0.3;1.34;3.9;;;;Flux Loss;3.69E-14;1.94E-13;3.93E-13;2.89E-12;;;;;;;;;;;
;;;;;;;;;;;Programmdauer in s;0.4;1.46;5.25;22.5;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Discretization = serendipity;;;;;;;;;;;;;;;;;;;;;;;
;;;Level;0;1;2;3;;;;konf = nonsym;deg = 1;;;;;;;;;;;;;;
;;;Problem Size;1072;4072;15808;62224;;;;Level;0;1;2;3;;;;;;;;;;;
;;;Outflow;1.82113;1.6011;1.39884;1.25912;;;;Problem Size;1434;5736;22944;91776;;;;;;;;;;;
;;;Flux Error;0.923449;0.767125;0.681347;0.605943;;;;Outflow;1.47455;1.41902;1.36475;1.31021;;;;;;;;;;;
;;;Flux Loss;-0.021308;-0.00994833;-0.00551915;-0.00321882;;;;Flux Error;0.595;0.532418;0.454194;0.402061;;;;;;;;;;;
;;;Programmdauer in s;0.13;0.63;2.11;38.29;;;;Flux Loss;-0.0395168;-0.0114971;0.00551521;-0.00475104;;;;;;;;;;;
;;;;;;;;;;;Programmdauer in s;5.33;17.65;62.96;239.1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Level;0;1;2;3;;;;;;;;;;;;;;;;;;;
;;;FEM linear;289;1072;4072;15808;;;;;;;;;;;;;;;;;;;
;;;FEM quadratisch;1072;4072;15808;62224;;;;;;;;;;;;;;;;;;;
;;;DGV deg = 1;1434;5736;22944;91776;;;;;;;;;;;;;;;;;;;
;;;DGV deg = 2;2868;11472;45888;183552;;;;;;;;;;;;;;;;;;;
